index	family	segments_loaded	verified_unchanged	re_indexed	tombstoned	keymap_dropped	docs_estimate
lunaris_git_655abc867e013604_chunks_idx	chunks	0	0	0	0	1270	1270
lunaris_git_837eac5c7efa2bbe_chunks_idx	chunks	0	0	1243	0	1179	1243
lunaris_git_ca4742d3a62a5083_chunks_idx	chunks	0	1000	233	0	1209	1233
lunaris_git_c2f8c5a05deca78a_chunks_idx	chunks	0	0	0	0	1229	1229
lunaris_git_be21cef44e962ac7_chunks_idx	chunks	0	0	0	0	1229	1229
lunaris_git_01690b0af63f8573_communities_idx	communities	0	0	0	0	1200	1200
lunaris_git_8312b6443bf55088_communities_idx	communities	0	0	0	0	1176	1176
lunaris_git_5fe58e193dd2b6ca_communities_idx	communities	0	0	0	0	1168	1168
lunaris_git_177fee7e179084fb_chunks_idx	chunks	0	0	0	0	1163	1163
lunaris_git_bdbecefeb10a87e7_chunks_idx	chunks	0	0	0	0	1088	1088
lunaris_git_8c0d7fad0073b566_chunks_idx	chunks	0	1000	86	0	1086	1086
lunaris_git_1eb7cfce77527a29_chunks_idx	chunks	0	0	0	0	1079	1079
lunaris_git_561ca05c0d24bd38_chunks_idx	chunks	0	0	0	0	1069	1069
lunaris_git_a72624b42d663ea0_chunks_idx	chunks	0	0	1055	0	1055	1055
lunaris_git_93bcc1bc428e44da_chunks_idx	chunks	0	0	0	0	1046	1046
lunaris_git_548f7073ba17a861_chunks_idx	chunks	0	0	1039	0	1039	1039
lunaris_git_2d80a29f1c4df565_chunks_idx	chunks	0	0	1035	0	1035	1035
lunaris_git_c8de4ed955fa5c59_chunks_idx	chunks	0	0	0	0	1033	1033
lunaris_git_e2ae63e7f4c6d401_chunks_idx	chunks	0	0	1027	0	1027	1027
lunaris_git_91a856df9b20ba26_chunks_idx	chunks	0	0	0	0	993	993
lunaris_git_4896409bfd46b913_chunks_idx	chunks	0	0	967	0	967	967
lunaris_git_4519583cf5993fd7_chunks_idx	chunks	0	0	965	0	965	965
lunaris_git_a8c28e2ad35ec863_chunks_idx	chunks	0	0	0	0	943	943
lunaris_git_794ee5ebb4430d0d_chunks_idx	chunks	0	0	0	0	935	935
lunaris_git_36567f9192db4b22_chunks_idx	chunks	0	0	892	0	892	892
lunaris_git_42ef5f1f386e098f_chunks_idx	chunks	0	0	886	0	886	886
lunaris_git_330db261455e5faf_chunks_idx	chunks	0	0	0	0	856	856
lunaris_cwd_4b1a451f6f42d02e_communities_idx	communities	0	0	49	0	848	848
lunaris_cwd_42c3c1a9b88bad34_communities_idx	communities	0	0	0	0	846	846
lunaris_git_048373a4276d2982_chunks_idx	chunks	0	0	842	0	842	842
lunaris_git_8f35665f7aa37d28_chunks_idx	chunks	0	0	0	0	842	842
lunaris_git_a4c6c7d1cd45c89c_chunks_idx	chunks	0	0	840	0	840	840
lunaris_git_13e6ecf499f7df21_chunks_idx	chunks	0	0	798	0	798	798
lunaris_git_82ff1a2e4b154d39_chunks_idx	chunks	0	0	791	0	791	791
lunaris_git_e4f9315686d26d36_chunks_idx	chunks	0	606	184	0	790	790
lunaris_git_199a4959e71477a2_chunks_idx	chunks	0	0	0	0	787	787
lunaris_git_f51f22543db97a2c_chunks_idx	chunks	0	0	1	0	784	784
lunaris_git_b9d5671faf22564e_chunks_idx	chunks	0	0	0	0	782	782
lunaris_git_24d72dea0ee0c330_communities_idx	communities	0	0	0	0	778	778
lunaris_git_9ec042288ac8e040_chunks_idx	chunks	0	0	0	0	765	765
lunaris_git_c94fb7cceadf208c_chunks_idx	chunks	0	0	763	0	763	763
lunaris_git_554602c012210a20_chunks_idx	chunks	0	0	0	0	757	757
lunaris_git_53a27986f1a30f87_communities_idx	communities	0	0	0	0	757	757
lunaris_git_c1121494229ce225_chunks_idx	chunks	0	0	729	0	729	729
lunaris_git_9825745df72647f6_communities_idx	communities	0	0	0	0	726	726
lunaris_git_bbffd2f5c3d994bc_chunks_idx	chunks	0	0	724	0	724	724
lunaris_git_3b8ecee79daecc8a_communities_idx	communities	0	0	0	0	724	724
lunaris_git_5f607039124204d8_chunks_idx	chunks	0	0	709	0	709	709
lunaris_git_a5e3bf6083b2165a_chunks_idx	chunks	0	0	0	0	704	704
lunaris_git_2b84f31d9c0b4e02_chunks_idx	chunks	0	0	0	0	688	688
lunaris_git_5216a8dfb9ba72ac_chunks_idx	chunks	0	0	0	0	663	663
lunaris_git_16349f6519c5e759_chunks_idx	chunks	0	0	660	0	660	660
lunaris_git_afa86b8ffbb37145_chunks_idx	chunks	0	0	0	0	658	658
lunaris_git_05521f4c3f53039e_chunks_idx	chunks	0	0	1	0	658	658
lunaris_git_5524e7c7360fdb14_chunks_idx	chunks	0	0	652	0	652	652
lunaris_git_568d6dcc1926c5be_chunks_idx	chunks	0	0	651	0	651	651
lunaris_git_c08dc71885f7b29e_chunks_idx	chunks	0	0	0	0	644	644
lunaris_git_2587004260ecf1f7_communities_idx	communities	0	0	0	0	637	637
lunaris_git_2dea1afbfbf29bc9_chunks_idx	chunks	0	0	632	0	632	632
lunaris_git_1b721d2ff2bf8f46_chunks_idx	chunks	0	602	30	0	632	632
lunaris_git_771db5b90fbc6813_communities_idx	communities	0	0	624	0	624	624
lunaris_git_8b87896039322ae4_communities_idx	communities	0	0	0	0	622	622
lunaris_git_655abc867e013604_communities_idx	communities	0	0	0	0	543	543
lunaris_git_9f20f8de76007407_communities_idx	communities	0	0	0	0	537	537
lunaris_git_71c057fb53b456ed_communities_idx	communities	0	0	260	0	521	521
lunaris_git_0318b9d9d17a29ef_communities_idx	communities	0	360	139	0	499	499
lunaris_git_e8f57d89d1abe776_communities_idx	communities	0	0	0	0	494	494
lunaris_cwd_4b1a451f6f42d02e_chunks_idx	chunks	0	0	208	0	475	475
lunaris_git_8958a4d58cfd9e6d_communities_idx	communities	0	0	463	0	463	463
lunaris_git_bec0369ab13b0550_communities_idx	communities	0	0	455	0	455	455
lunaris_git_23d602de8bfadbe0_communities_idx	communities	0	0	269	0	447	447
lunaris_git_b0996af93adea9e8_communities_idx	communities	0	0	1	0	439	439
lunaris_git_7309c08c6c48d974_communities_idx	communities	0	0	0	0	397	397
lunaris_git_6588580bd93961dc_chunks_idx	chunks	0	0	6	0	6	6
lunaris_git_a1fc568473606a9b_chunks_idx	chunks	0	0	1	0		1
lunaris_git_5606c538dad518d1_communities_idx	communities	0	1	0	0		1
lunaris_git_b27263fc6645e999_chunks_idx	chunks	0	1	0	0		1
lunaris_git_521cd70a0c91ac69_communities_idx	communities	0	0	0	0		0
lunaris_git_551e33cebc1a44a9_communities_idx	communities	0	0	0	0		0
lunaris_git_b27263fc6645e999_communities_idx	communities	0	0	0	0		0
lunaris_git_551e33cebc1a44a9_chunks_idx	chunks	0	0	0	0		0
lunaris_git_f8dcd0e4c5bca11e_communities_idx	communities	0	0	0	0		0
lunaris_git_1557636cbea7c6fd_chunks_idx	chunks	0	0	0	0		0
lunaris_git_f8dcd0e4c5bca11e_chunks_idx	chunks	0	0	0	0		0
lunaris_git_521cd70a0c91ac69_chunks_idx	chunks	0	0	0	0		0
lunaris_git_424c37573c0a2cc4_chunks_idx	chunks	0	0	0	0		0
lunaris_git_88a4feca87404614_chunks_idx	chunks	0	0	0	0		0
